ProdDescr,Q1
"Powerful 2400 RPM copper winded motor for quick heating and can be used vertically or horizontally (kindly refer to images)|Do not worry if you experience some burning smell when you run your room heater for the 1st time. This is due to the motor varnish getting heated for the 1st time. The problem should not recur in subsequent usage. If it does, please contact our Customer support|Caution - Always use the product with 16A socket. Using it on lower rating sockets may result in melting of socket or the plug. This is 2 KW heater. It will consume 2 units per hour when operated on high heat setting.|Air throw range of 10 feet which is ideal for small to medium sized room; Product can be placed both vertically and horizontally (kindly refer to images)|Cool, Warm or Hot wind selection knob for heat setting; Please note that regulator changes heating power & not actual fan speed|Lightweight (1.15 kg) for easy portability between rooms; Plastic body with rust-free metal grill front|Built-in overheating protection;Power: 2000 watts; Operating Voltage: 220 - 240 volts; Package contents: 1 Room Heater and Instructions Manual|This model Fan Speed is fixed, not regulated by knob",What is the RPM of the motor?
"✅ [LCD Screen] : A wide LCD screen display makes this scale easy to read, and it automatically locks its reading when the data is stable.|✅ [Multiple Features] : There are multiple features on the scale, such as an ON/OFF mode, a tare function, a unit exchange function, and an overload indicator.|✅ [Salient Features] : BeatXP kitchen weighing has Wide Screen Display, Automatic Data Locking, Low Power Consumption, Low Battery Indicator, High Precision Sensor, When the scale is overloaded, the scale will appear O/C.|✅ [Flat Surface] : To ensure accurate measurements, place the Kitchen weighing scale on a flat surface.|✅ [Color] : This scale is white in color and made from PVC",LCD Screen] : What does the LCD screen do?
"Max 3 differentiators Great Features - i)Automatic Cutoff ii) 360 Degree Swivel Base iii)Single Touch lid locking|Voltage: 230V; Wattage: 1500W. Heating Element:Yes|Warranty: 1 Year, BSNL/MTNL|i) Power - 1500 watts ii) Capacity - 1.5L iii) Material- Stainless Steel iv) Concealed Element|Troubleshooting guidelines: i)Never operate the appliance empty ii) Never lift the kettle from the base when the unit is in operation.|The large opening in the top allows easy access to the smooth, seamless Stainless Steel interior for easy cleaning of mineral deposits|Features : Power indicator light that lights up as it begins to boil water and automatic shut-off after boiling ; Its water level indicator enables you to easily measure the amount of water you need",What is the maximum power output of the appliance?
"Content: Prestige Electric Kettle 1.7L with concealed element and detachable power base|Net Quantity: 1 unit : Warranty: 1 year.Water Level Indicator:Yes|Specifications - power - 1500 watts , Voltage: 230V, Material- stainless steel, concealed element|Troubleshooting guidelines - Never operate the appliance empty, Never lift the kettle from the base when the unit is in operation|Specifications - power - 1500 watts, Material- stainless steel, concealed element|Great Features - Automatic cutoff, wide mouth for easy cleaning, single touch lid locking|Includes: main unit, user manual, warranty card",What is the net quantity of the Prestige Electric Kettle?
"✅【Get Creamy Froth Quickly】With a higher speed motor, this milk frother spins quickly and smoothly. It makes best creamy froth with milk heated . Enjoy your favorite coffee with foam topping in seconds.|✅【For Perfect Froth】This coffee frother is powered by 2 AA batteries, it brings creamy froth instantly. Within 1 minute, you get a glass filled with milk foam for your coffee.|✅【Enjoy Your Latte Anywhere】Missing your morning latte when travelling? Just take this portable frother on the road. Small yet effective, easily to make your cafe style cappuccino|✅【100% Satisfaction] We aim to provide high quality product, and stand behind it with a full replacement service. In case you have any issues, just contact us and we will make it right for you, at any time!",How quickly does this milk frother spin?
R.D. & COMPANY Majesty DX 6 1000-Watt Dry Iron (White),What is the wattage of the R.D. & COMPANY Majesty DX 6 1000-Watt Dry Iron?
"LED Indicator: Colour-changing LEDs that change from blue to amber to indicate the hotness of the water|Outer Body: Rust and shock proof ABS outer body for long life|Inner Tank: Stainless steel inner tank of 304 grade|Power Cord: Fire retardant power cord for maximum safety|0.65 MPa Bar Pressure: Suitable for high rise buildings and pressure pump applications|ISI Marked and ISI certification|Capacity: 3 liters, Heating element: Copper Heating element",What is the LED indicator for?
"Auto shut off function|Integrated stainless steel function. 360° Cordless Kettle|304 stainless steel interior with no plastic|Energy saving, cool touch outer body with no scalding hazard|Wide mouth for ease filling, pouring and cleanin",What is the auto shut off function?
ABS outer body with SS tank|Copper heating element with efficient longer life|Suitable for 6 bar pressure|Unique Weldfree joint in outer metal body|It come with fire retardent cable and neon indicator for heating,What is the body of the ABS made from?
Power - 2000 W|Capacity - 1.8 L|Durable and Long-lasting,How much power does the appliance have?
"3 jars liquidizing jar (1.5 liters), dry or wet grinding jar (0.8 liters), chutney jar (0.35 liters)|Operating Voltage: 220 - 240 volts, Frequency: 50Hz 1Phase|The mixer has three blades at the bottom that grinds all your ingredients to a smooth paste or powder ; Revolutions: 18000 RPM ; Material: Stainless Steel|3 speed control motor; Multi-functional blade system|Operating noise levels between 80-90 dB; Initial burning smell is to be expected due to evaporating varnish, which is normal|Lifelong LLMG23 Power Pro Mixer Grinder comes with 1 Year Domestic Warranty from the date of purchase",What is the capacity of the dry or wet grinding jar?
"360 Degrees swivel cord. Steam Burst : No|American heritage coating non stick sole plate|Dual color|Safety plus thermal fuse|Other Comfort Features: Multiple Temperature Levels|Warranty: 2 years on product|Power: 1000 watts, Frequency: 50 Hz, Power Input: 230 V ; Indicator light for on and off ; Automatic Shut Down and Temperature Control ; Cord length: 1.7m",What is the steam burst feature on this iron?
"Fast boiling electric kettle: This kettle boils water in just 2-3 minutes. Conveniently prepare hot tea, delicious cocoa, or instant soup in short time|Extra large capacity: Humanized design and large-capacity of 1.5 L can help you make multiple cups of tea or coffee at the same time, convenient and time-savingIt might be a good size kettle for your family and friends gathering. Power Supply: AC 220-240 V.Cord Plug / Length 3Pins, 0.75mt|Concealed heating element : This electric kettle is convenient and safe with Concealed heating elementThis avoids calcification and makes your kettle long lasting|Design built for safety: Absa features extra-ordinary safety measures like the automatic shut-off, dry boiling and over-heat protection to ensure your safety|100% Stainless steel: The material used for the body of the tea kettle is Stainless steel that adds to its durabilityThe water does not contact with plastic so you don’t worry about the contamination from plastic materials and chemicals|Cordless design: This electric kettle allows for easy filling and serving. With its 360-deg cordless pirouette base this kettle comes in handy and portableIt allows freedom of movement for your convenience|Cord-winder: The cord can be wrapped around the base, so that the kettle is easy to place in your kitchen",What is the capacity of the kettle?
"Content: Prestige Induction Cooktop-Pic 20.0|Net Quantity: 1 Unit. Extended Cooling Sysytem|Voltage: 230V, Wattage: 1600Watt|Note: Kindly refer to 6th and 7th Image for error codes and their respective solutions|Troubleshooting guidelines: Works only with Induction base cookware- bottom diameter between 12cm-26cm|Type of Control Panel - Push button|Great Features - i)Indian Menu Options ii) Aerodynamic cooling system iii) Automatic voltage regulator ,saves power",What is the voltage of the Prestige Induction Cooktop?
"MULTIFUNCTIONAL LAUNDRY BAG - Useful for homes, apartments, bathroom, student's dormitory and hostels. Also help you to store other stuff, such as umbrellas, toys, shoes, etc, Make your room look clean, tidy and save space|Needs no assembly - Folds when not in use. Volume: 75 litre. Package contains 1 Laundry Basket.|FOLDABLE STORAGE CONTAINERS - This box is foldable for space-saving, easy to set up and convenient to carry. Can be folded when not in use|HIGH QUALITY - Made from non-woven fabric with strong durable stitching, which is environmentally friendly, durable, wear and tear-resistant fabric, anti-wrinkle-free, lightweight|Dimension: Length(15)inch x Width(14)inch x Height(21.5)inch",What is the capacity of the laundry bag?
"Efficiently removes fabric fluff, fuzz, bobbles, pills, burr or roye from all types of garments, fabrics and restores to a fresh look|5W motor with 6500 RPM ensures quick and smooth removal of lints|3 leaf stainless steel blades eliminates the lint smoothly and prevents the fabric from getting damaged|Rechargeable lithium ion battery gives 60 minutes of cordless use with 1 hours of recharge|The smart safety features ensures the device to work only once the steel mesh cover is properly and tightly fitted to avoid injury",What does this device do?
"Classic Design: The classical mirror polish of the appearance makes your electric kettle 1.5 Litre unique and aesthetic, which can match any type of kitchen design and 360° swivel base is connected with standard power cord for safe usage and convenient storage|Cordless Pouring: The electric kettle 1.5 Litre can be easily lifts from its swivel base for easy filling at the sink and graceful serving without the hassle of a power cord; it can also be returned to its power source from any direction, great for right and left-handed users.|Convenient: The cordless, auto shut off & BPA-Free electric kettle 1.5 Litre makes a striking presence on any kitchen counter or buffet in preparing and serving and it is easy for storage|Fast Boil: This 1500 Watt electric kettle has concealed heating elements and can boil up to 1.5 litres of water in 5 to 7 minutes, quicker and safer. Start your day with a cup of instant lemon tea, green tea, hot water.|Easy Clean: Use white vinegar, baking soda, water, cleaning bottle brush and microfiber cloth to clean your electric kettle 1.5 litre and keep it looking new.",What is one unique feature of the electric kettle 1.5 litre?
"Make Smoothies and Juices within seconds.|Also suitable for dry grinding, chutneys and dips|Powerful 500 W copper motor can grind almost any food.|Best in the segment customer support and quality|Includes easy to make and carry sipper jar",What are the capabilities of the Powerful 500 W copper motor?
"Easily remove fabric fluff, fuzz, bobbles, pills, burr or roye from all types of garments and fabrics|Helps to Restores your clothes and fabrics to a fresh new look|Up to 8800 rounds/min blade rotation for effective removal-Suitable for all garments|3 sizes of holes in the mesh to tackle all sizes of pills|Warranty: 2 years on product|Includes: 1 Fabric Shaver, 2 x AA batteries and Cleaning Brush|Large blade surface for covering a large area at once",How can this product be used to remove fabric fluff?
"Cool touch body with One year warranty|Warranty: One year warranty|Includes: room Heater|Heat setting: Two heat Settings: 1 W & 2 W ; Peak Air Velocity: 3. m/s ; Power input: (22 - 24)V ; Power consumption: 1 W , 2 W ; Frequency (hertz): AC 5 Hz|Touch Sensor: No",What is the Cool Touch body?
"1800 Watt Power Consumption. Power Input : AC 230 - 250 V, 50 Hz|35% energy savings compared to LPG Cooking|Preset timer - Auto switch off|8 Menus - Installed Induction cooktop|LED Display for temperature indication|Smart timer for hands free cooking; Suitable for making dosa, roti, deep fry, idli, heating milk, making curry|This cooktop comes with high-grade electrical that protects against short circuits. It's superior top plate cans with-stand very high temperatures, making it very durable, Cord length : 1.5 meter;Warranty: 1 year warranty provided by the manufacturer from date of purchase on manufacturing defects;Included_Components: 1 Pigeon Acer plus Induction cooktop|Suitable for gifting on Diwali and other special occasions.",hat is the maximum wattage of this induction cooktop?
"Radiant Warmth: Ideal for use in in small rooms, this 1000 Watts heater provides instant heating during winters|Peace of Mind: Featuring cotton braided cord for safety and Nickel Chromium Plated mesh grid for effective heating|Convenient & Elegant: This room heater comes with SS reflector and tilting legs for easy mobility|Reliable & Safe: Our room heaters are dependable and they also come with a 2 Year warranty|Cord Length (in meters : 1.5)|Nickle chrome plated mesh grid",What is the power output of the Radiant Warmth heater?
"Wattage: 750 W; Voltage: 220-240V, 50-60Hz ; Revolution: 18500|No of Jars: 4; Jar Size: 0.4,0.75,1 in Ltr; Jar Material: Stainless Steel jars and PC Juicer Jar; Body Material: ABS body; Cord Material: 180 CM; Blade Material: Stainless Steel; Speed Control: 3 Speed motor for faster and efficient grinding.Body: Body made of ABS which is shock free|Do not worry if you experience some burning smell when you run your mixer grinder for the 1st time.This is due to the motor varnish getting heated for the 1st timeThe problem should not recur in subsequent uses. If it does, please contact Brand Service Centre|Read Manual Before Use|Powerful motor, Auto Switch Off: Yes; Aesthetically designed ABS body. Body made of ABS which is shock free|Elegant handle and unbreakable lid; Special ventilator to reduce motor heating. Coupler: Special grade Nylon couplers used for better durability|Includes: Mixer Grinder, Juicer jar, Liquid jar with lid, Dry jar with lid, Chutney jar with Lid, Spatula and User manual with Warranty Card",What are the dimensions of the juicer jar?
"PERFECT EGGS EVERY TIME: Cooking eggs to your desired firmness is easier than ever! An easy to use measuring cup with firmness markings is included, allowing you to cook your eggs to desired hardness of soft, medium or hard and make it consistent every time|ONE-TOUCH COOKING: No complex operations, FAST AND SAFE TO USE. with only One-Touch Power Button, SOFLIN couldn’t be easier to use! Just fill up the water to your desired hardness and turn it on. When the light turns off, the eggs are ready. Simple as that!|COMPACT, LIGHTWEIGHT AND SAFE: Small size and lightweight making Egguru a perfect solution for for smaller kitchen, college dorm life, or camper/RV traveling.|EASY TO CLEAN - Detachable parts make it very easy to disassemble and clean. Simply remove the egg holder and wash these parts with detergent and a sponge.|Material Type: Plastic",What is the ideal firmness for eggs according to the text?
"Heat and warm water anytime, anywhere with the Amazon Basics Electric Kettle|Built from high-quality raw materials; stainless steel body; lightweight and durable electric kettle|Auto cut-off switch when the water reaches the desired temperature|User-friendly; 360-degree rotating base with plug-in facility|Capacity: 1.5 L|Embedded optimal power-consuming technology; Wattage:1500 Watts|Heat-resistant and cool-touch plastic handle; energy-efficient, affordable and long-lasting kettle|Care instructions: Do not immerse the product in water. Do not touch the stainless steel body during and after boiling. Keep the kettle away from children",hat is the minimum water level for the Amazon Basics Electric Kettle?
"New designs, Durable die cast aluminum grill plates|Heat Resistant, Bakelite body, User Friendly.Cord length 1.5 m|German Technology Greblon Non stick coating for oil free toasting|Power Indicators for easy of use|800 watts power, Voltage(V): 230 Volts|Easy to clean|Warranty: 1 year warranty provided by the manufacturer from date of purchase",What are some of the features of this product?
"Powerful performance : Heavy soleplate that is built to last|Easy to experience : Easy to understand temperature settings|Modern design : Attractive looks with powerful performance|High wattage : 1000 watt, Power cord length:1.8m, Weight: 1.6 kg, Voltage: 220-240 V, Cord freedom (swivel): 360 degree cord freedom|Auto off pilot light",What is the soleplate made of?
"INNOVATIVE DESIGN, BUILT TO LAST LONGER: Created with quality in mind! Using the premium materials, (heavy-duty abs plastic shell + SS mesh cover and razor-sharp 3- blades). Combined with durable and advance technology, rest assured that it will never break or damage easily plus powerful suction and the efficient motor that shaves off and leaves the sweater clean and lint-free like newly bought.|FAST CHARGING, EASY TO USE, TRAVEL-FRIENDLY: Hassle-free lint remover cleaner, just charge and use. Charging compatible, multiple options; Charge and direct plug to laptop/desktop, power-bank, car charger, smart IC charger. 2 hours of charging can operate for 45 minutes with low electric consumption and design for travel and home use, compact and lightweight|6 SHARP BLADE, DEFUZZ ALMOST ALL FABRIC LINTS: Take advantage with our newest and revolutionize fabric defuzzer device that has 3 blades horizontal & 3 blades Vertical that cuts through excess loose threads, fuzz balls and lint’s from your winter coat, sweater, scarf, gloves, plush toys, car cushion, sofa, leggings, bedding, curtains and linens and other clothing's and fabrics that needs to de-fuzz!|RENEW FABRIC SAFELY AND EFFICIENTLY: Function delicately to protect further damage on clothes and fabric, with honeycomb mesh-like cover that doesn't deform and reduces the friction of clothes. Automatic shut-off lint shaver, thanks to the safety lock, the device automatically stops when the blade cover is open or loose. With 65mm mesh that tackles almost all sizes of loose threads and loops; particulate lint, fine particulate pill, and intensive fuzz, no problem!|WIDER LINT STORAGE: No mess and sticky residue like standard lint remover in the market, provided with removable lint collector container that will catch all lint and fuzz, Plus strong suction, powerfully draws all lint that has been remove and goes through the container effortlessly, removable for easy cleanup. You’ll love how it delivers the seamless removing of lint on coat and sweater.|NOTE - Use fast charging adaptor (>30W) to completely charge device within 2 Hours.|1 year manufacturer’s warranty",What is the device made of?
"Non-stick coated golden color sole plate|Super clean finish with pleasant aesthetics|Cool touch body with comfortable hand grip|Light weight and 360 degree swivel cord, Material - Plastic|Thermal fuse for safety|Warranty: 2years on product|Power: 1000 watts",What is the color of the sole plate?
"1000W with up to 20g/min continuous steam rate, safe on all ironable fabrics|1000 watt steamer, ready to use in only 30 seconds, with 100ml detachable water tank for easy refill|Easy de-wrinkling, continuous steam 20g/min kills 99.99% of bacteria and 100%* dustmites, confidently refresh your clothes and remove odours|Compact and foldable steamer, easy to use and store, no ironing board needed, saves time and hassle",What is the wattage of the steamer?
"Fast Heating :- Ceramic heating element creates energy efficient warmth quickly in 3 seconds.|Overheat protection : PTC ceramic element is self-regulating With the design of over-heat protection for thermal control|Adjustable Temperature & Silent :- Adjustable thermostat control monitors the temperature around you for optimal heating|Energy efficient and Portable :- Ceramic heating element for energy-efficient operation|Compact Design :- It's compact enough to take anywhere,Great for the camper or give it to the kids for their college dorm rooms.",What powers the ceramic heating element?
Material: Plastic Body- Plastic Bowl- SS Blades|Contents: 1N Motor Unit- 1N Chopping Container- 1 Blade set- 1N Rubber Lid & 1 User Manual,What is the material of the body and bowl?
"KENT Amaze Electric Kettle amazes with its 1.8L capacity and 1500W power;Boils water for tea, coffee, or instant soup within minutes & serve 5-6 people at a time|360° swivel technology makes pouring and serving easy;Its inner stainless steel body ensures better heat retention and durability|The plastic outer body for cool-to-touch exterior ensures easy handling;The auto shut-off features turns it off in case of overheating and dry-boiling|Size Name: Stander; Color Name: White",What is the capacity of the Kent Amaze Electric Kettle?
"Say goodbye to the worries about dealing with the cold weather with the Amazon Basics Electric Room Heater|Ideal for small to medium-size rooms|Two Knobs - one for Heat mode (1000W or 2000W) another for thermostat for temperature control.|Equipped with 2 heat modes, 1000 watts and 2000 watts|Turbo fan motor evenly distributes heat in the room|Compact and lightweight room heater can be placed anywhere in the house|Plastic fire-retardant body and metal grill that contains copper ensure safety while in use|Ultra quiet in operation, Inbuilt thermostat for safety",What are the dimensions of the Amazon Basics Electric Room Heater?
"MULTI-PURPOSE: Can be used to seal all types of food bags and storages, such as potato chips, snack bags, breads, coffee bags and frozen food bags, etc.|Perfect for tightly sealing and storing all types of foods and snacks, so that the food stays fresh and tastier for longer|SEAL THE DEAL! : They are fast and easy to use and their grip is very strong, so you can rely on these clips to keep your bags perfectly sealed with minimum effort. It's always good to have these sealing clippers in your kitchen!|PRACTICABILITY: Convenient, durable and reusable. The Seal clips provide more choices to meet your different needs. Enjoy your fresh food for long time and keep a healthier lifestyle.|Content : 18 Pieces (3 size x 6 Pcs each)",Can the Seal clips be used to seal all types of food bags?
"HIGH SPEED: Superior air delivery with high-speed airflow of 400 RPM and high air delivery of 210 CMM.|SUPERIOR COMPONENTS: 100% copper motor with double ball bearing technology for smooth operations.|CORROSION-FREE: Powder-coated ribbed blades assure strength and longer life.|STYLISH AND ELEGANT: Metallic finish motor ring and blade trims that add to the decor of the room.|PACKAGE INCLUDES 1 Ceiling Fan, 1 Warranty Card, and 1 Instruction Manual.|WARRANTY: 2 years manufacturer warranty.",What is the high-speed airflow of this ceiling fan?
"MULTIFUNCTIONAL LAUNDRY BAG - Useful for homes, apartments, bathroom, student's dormitory and hostels. Also help you to store other stuff, such as umbrellas, toys, shoes, etc, Make your room look clean, tidy and save space|Needs no assembly - Folds when not in use. Volume: 75 litre. Package contains 1 Laundry Basket.|HIGH QUALITY - Made from non-woven fabric with strong durable stitching, which is environmentally friendly, durable, wear and tear-resistant fabric, anti-wrinkle-free, lightweight|FOLDABLE STORAGE CONTAINERS - This box is foldable for space-saving, easy to set up and convenient to carry. Can be folded when not in use|Dimension: Length(15)inch x Width(14)inch x Height(21.5)inch|REMOVABLE LID - Laundry Box comes with the matching Lid to prevent dust from settling on the stored contents while bringing a decorative look",What are the dimensions of the laundry box?
"Instant Warmth: 2000 Watts Heat Convector Room heater ensure your comfort during chilly winters. Rated Voltage-230 V|Personalized Comfort: Customized to your heating needs with an adjustable thermostat and two heat settings (1000 W/ 2000 W), Cord Type:- PVC|Peace of Mind: Featuring auto thermal shutoff and a thermal fuse to prevent overheating|Convenient & Elegant: RX10 comes with a two way installation, horizontal and vertical|Multitasking: Acts as a heater in winter and personal fan in summer|Reliable & Safe: Our room heaters are dependable and they also come with a 2 Year warranty|Adjustable thermostat for desirable temperature",What is the maximum power output of the RX10 room heater?
"PRODUCT: Crompton's 5L instant water heater with fast heating function|TECHNICAL SPECIFICATIONS: Wattage: 3000W; Capacity: 5L; Pressure 6.5 bar|WARRANTY: 5 year warranty on Tank, 2 year warranty on Element and 2 year warranty on Product provided by Crompton from date of purchase|4 LEVEL SAFETY: Steam Thermostat, automatic thermal cut-out, pressure release valve and a fusible plug to ensure complete safety.|ANTI-RUST: Rust free PP body along with a weldless tank design that enhances resistance to corrosion and ensures long life",What is the wattage of the Crompton water heater?
"Non-stick coated sole plate|Super clean surface finish|Extra lift at the back for easy gliding on clothes, Extra Light Weight|Cool touch handle with comfortable grip|180 degree swivel cord|Warranty: 2 years on product|Power: 600 watts; Operating voltage: 230 volts",What is the warranty on this product?
"Power: 1500 watts|Warranty: 2 year warranty on product|Water Proof Sealed terminals for safety and longer life|Plastic handle to prevent from shock & rust|Includes: 1 Unit immersion rod, instruction manual, warranty card",How much power does the immersion rod have?
"This product does not require installation. please contact brand customer care for any product related queires. Customer Service Number: +91-02822-230491 / 02822-391391|Unique comfort grip, The frequency is 50 Hz, Functions: Beating. Pureeing : Yes|Easy to store and wash and it has Stainless steel blade|A handy appliance which will reduce the time you spend in the kitchen by taking care of all your chopping, blending or mixing tasks at the touch of a button|Smooth and safe switch, Sleek & Strong|Elegant design|18000 RPM",What is the frequency of this product?
"Cook up to 7 eggs in soft, medium, or hard boiled firmness, while saving time and water. Eggs come out consistently perfect, shell is easy to peel, and clean up is super easy!|This Egg Boiler takes only 10 minutes to cook the eggs Fill measuring cup with water to desired doneness, press the power button once and within minutes your eggs will be ""Egg-Celent!"" Fun and simple to use for family members of all ages!|Multi-functional egg shelf design, varied size of eggs can be steamed, automatic cut - off function|You can consistently prepare eggs the way you like without fat or oil.",t is the cook time for this egg boiler?
"Multiple Units: The Chef-Mate KS 33 Kitchen Scale efficiently weighs in g, ml, lb:oz and fl’oz. Simply touch the UNIT button for the desired conversion.|TARE Function: This function allows you to set the scale to zero with your bowl already placed on the scale to weigh liquid or fragile ingredients.|High Precision: This scale is built with high precision sensors to give you the right measurements to aid in your cooking.|Dimensions: The Chef-Mate KS 33 Kitchen Scale: 15.5 x 21.7 cm | BPA Free Bowl: 18 x 6.3 cm | Display Size: 6.6 x 2.9.|Box Contents: The Chef-Mate KS 33 Kitchen Scale, 1 BPA Free Bowl, 2 AAA Batteries, Warranty Card and Instruction Manual.",In what units can the Chef-Mate KS 33 Kitchen Scale weigh ingredients?
"Philips Airfryer HD9252/90 (Large, 4.1 L) lets you cook great tasting food with up to 90% less fat*|Patented Rapid Air technology with unique starfish design pan ensures evenly fried results without flipping the food|Fry. Bake. Grill. Roast. And even reheat!|Touch screen with 7 presets and Keep Warm Function. Try new recipes at the touch of a button.|Auto-shut off function when the basket is removed|Extra-long 1.8 m cord length for easy placement in your kitchen|Dishwasher-safe and Easy-to-Clean",hat is the capacity of the air fryer?
"The advanced quartz tubes get quickly heated and its dual heat setting features allow you to adjust the temperature as per your comfort|Fused with elegant and sleek design that goes well with your décor|High efficient quick heating quartz rod with two setting 400W+400W|Rust free stainless steel reflector, along with Tip-Over proctection for a safer experience|An ISI approved product powered with shock proof body and a carrying handle|Power Requirement - 200-220E 50HZ 800W, Two Settings 400W+400W|Warranty: 1 years warranty provided by crompton from date of purchase, covers on manufacturing defects kindly read the usermanual for more details",What is the main feature of the advanced quartz tube?
"Smoothly takes off the lint from fabric suitable for sweaters, woollens, blanket, sports wear|Dual protection The adjustable height spacer protects your garments from being cut or snagged or caught. It also protects and reinforces your hands from accidentally touching the shaver foil.|Battery Powered AC-220V at 50 Hz and 2 W Power|Fibre And Lint Storeman,Hair Sucker Remover for Any Fabric Clothing|Rotatory Sharp Blades & Remove the Lint Quickly|Flatly Lay Down The Textures & Remove Lint & Fibre|Battery Operated Lint Works Properly and to the best of the Capacity of the Batteries whatever you add",What does this product do?
30 units|Perfect to Seal Food/Snack|Keep Food Fresh|Freezer Safe|Dishwasher Safe,What is the perfect amount of these units to seal food/snack?
"Compatible only for Pureit Classic 23 Liter water purifier|Germkill Kit (GKK) Capacity - 1500 Liters|The Germkill Kit (GKK) contains 3 Parts - Activated Carbon, Germkill Processorᵀᴹ and Polisher|Activated Carbon Filter - Removes harmful parasites & pesticides|Germkill Processorᵀᴹ - Uses programmed Germkill technology to remove invisible harmful viruses & bacteria|Polisher - Removes chlorine, odor, along with other impurities to purify water and improve its taste|For GKK replacement instructions, refer to the user manual pdf (in Product guides & documents section)",What is the compatible only for Pureit Classic 23 Liter water purifier?
"Wattage: 750 W; Voltage: 220-240V, 50-60Hz ; Revolution: 18500|No of Jars: 4; Jar Size: 0.4,0.75,1 in Ltr; Jar Material: Stainless Steel jars and PC Juicer Jar; Body Material: ABS body; Cord Material: 180 CM; Blade Material: Stainless Steel; Speed Control: 3 speed with whip|Do not worry if you experience some burning smell when you run your mixer grinder for the 1st time .This is due to the motor varnish getting heated for the 1st time. The problem should not recur in subsequent uses. If it does, please contact Brand Service Centre|Read Manual Before Use.|LED light to indicate power ON status and Knob. Suitable for: Wet Grinding, Chutney Grinding, Grating, Mincing, Dry Grinding, Blending|Juicer Type: Centrifugal Juicer ; Non-slip Feet: Yes ; Auto Switch Off: Yes ; Locking System: No; Special rubber shoes for extra firm grip; Vacuum rubber shoes for firm grip|Automatic overload cut off facility",What is the wattage of this mixer grinder?
"Blends Fast and Quick: Our personal blender is powered with a 150 Watt motor and fitted with 304 stainless steel blades so you can blend your shakes, smoothies, crush ice and anything else in seconds|Durable and Wireless: Built with a 2000 mAh rechargeable battery, our portable blender has a long battery life and can be charged by any device that has a USB port. Charging cable included|Lightweight and Portable: Blend anywhere at any time with our smoothie blender that can be easily stowed and used in places like your office and gym or while you're camping and traveling|Versatile and Multi-Purpose: Perfect for making anything from protein shakes to smoothies to milkshakes and even baby food - our rechargeable blender makes drink preparation effortless and fun|Hassle-Free Cleaning: With a cup that detaches easily, cleaning is a breeze with our USB blender - you can also just add water and soap to the blender and run it a few times to clean it thoroughly",What is the maximum power output of the blender?
"InstaCuppa USB rechargeable electric food chopper has a long-lasting 1300 mAh lithium-ion battery and takes 3-4 hours to charge it fully. With one full charge, you can use this device up to 30 times|This mini USB chopper comes with a high-performance 45W motor and sharp stainless steel blades (3 blades). Moreover, you can quickly process most of the ingredients in 30 to 60 seconds|This mini electric chopper is extremely easy to use. Just put the ingredients in the mini food processor, place the lid, and press the ON button for a few seconds to mince the food. That's it!; Travel Friendly - this mini food chopper is compact, lightweight, and perfect for travel. You can carry this rechargeable chopper in your backpack or suitcase very easily|This USB rechargeable chopper's components are straightforward to clean. The bowl and the blades are top-rack dishwashers safe. Moreover, it is easy to assemble and dismantle this mini chopper|Material Type: Plastic",What type of material is the InstaCuppa USB Rechargeable Electric Food Chopper made out of?
"Lint Remover for Clothes and bubble remover for clothes with a powerful motor (5W Rated Power) to work at high speed.|【Elegant & Ergonomic Design】Ergonomic design, the pilling remover for clothes has an easy-grip handle which offers users a comfortable experience.|【Easy to Use and Clean】This fabric remover shaver is corded and easy to use at anytime and anywhere. It also features a detachable collection container that can be conveniently clean at quick|Up to 7700 rounds/min blade rotation for effective removal and comes with a brush as cleaner|Easily remove fabric fluff, fuzz, bobbles, pills, burr or roye from all types of woolen and cotton garments and fabrics. It is a rua remover machine|Fabric shaver fuzz remover, small and portable, a perfect garment care tool.|Also an upgraded floating blade can effectively shave lints and burr remover protect your clothing when blade direction changes up and down, according to the size of lint",What is the power rating of the motor on this fabric shaver?
"Compact and consumes less space as compared to the bulky food processors and mixers|Easy to operate, clean, detachable and easily washable parts|This complete kitchen machine offers all-in-one solution and performs four functions - those of a mixer, grinder, juicer and chopper|Blender for fresh and healthy vegetables or fruit juices in seconds and grinder for dry spices and chutney",What are the advantages of this kitchen machine compared to others?
